timestamp_sec,cmd,bg,bk,row,col
4.90104162e-04,act,110,11,1111000010001001,
4.90120802e-04,rd,110,11,,010000100
4.90144242e-04,pre_pb,110,11,,
4.90160162e-04,act,110,11,1111000010010010,
4.90176802e-04,rd,110,11,,001000100
4.90206802e-04,pre_pb,110,11,,
4.90249442e-04,ref_ab,,,,
4.90420642e-04,act,110,11,1111000010001001,
4.90437282e-04,rd,110,11,,010000100
4.90454002e-04,pre_pb,110,11,,
4.90469922e-04,act,110,11,1111000010010010,
4.90486642e-04,rd,110,11,,001000100
4.90523442e-04,pre_pb,110,11,,
4.90569282e-04,act,110,11,1111000010001001,
4.90586002e-04,rd,110,11,,010000100
4.90608562e-04,pre_pb,110,11,,
4.90624402e-04,act,110,11,1111000010010010,
4.90641042e-04,rd,110,11,,001000100
4.90677762e-04,pre_pb,110,11,,
4.90722002e-04,act,110,11,1111000010001001,
4.90738722e-04,rd,110,11,,010000100
4.90762162e-04,pre_pb,110,11,,
4.90778002e-04,act,110,11,1111000010010010,
4.90794642e-04,rd,110,11,,001000100
4.90831442e-04,pre_pb,110,11,,
4.90879842e-04,ref_sb,,11,,
4.91015122e-04,act,110,11,1111000010001001,
4.91031762e-04,rd,110,11,,010000100
4.91048482e-04,pre_pb,110,11,,
4.91064402e-04,act,110,11,1111000010010010,
4.91081042e-04,rd,110,11,,001000100
4.91124562e-04,pre_pb,110,11,,
4.91161282e-04,act,110,11,1111000010001001,
4.91177842e-04,rd,110,11,,010000100
4.91200562e-04,pre_pb,110,11,,
4.91216482e-04,act,110,11,1111000010010010,
4.91233122e-04,rd,110,11,,001000100
4.91276562e-04,pre_pb,110,11,,
4.91314082e-04,act,110,11,1111000010001001,
4.91330722e-04,rd,110,11,,010000100
4.91354962e-04,pre_pb,110,11,,
4.91370802e-04,act,110,11,1111000010010010,
4.91387522e-04,rd,110,11,,001000100
4.91430962e-04,pre_pb,110,11,,
4.91468642e-04,act,110,11,1111000010001001,
4.91485362e-04,rd,110,11,,010000100
4.91507762e-04,pre_pb,110,11,,
4.91523682e-04,act,110,11,1111000010010010,
4.91540402e-04,rd,110,11,,001000100
4.91583842e-04,pre_pb,110,11,,
4.91621362e-04,act,110,11,1111000010001001,
4.91638002e-04,rd,110,11,,010000100
4.91660562e-04,pre_pb,110,11,,
4.91676482e-04,act,110,11,1111000010010010,
